"code","name",
"298","Africa, regional",
"498","America, regional",
"798","Asia, regional",
"998","Bilateral, unspecified",
"619","Central Asia, regional",
"89","Europe, regional",
"789","Far East Asia, regional",
"589","Middle East, regional",
"389","North & Central America, regional",
"189","North of Sahara, regional",
"889","Oceania, regional",
"689","South & Central Asia, regional",
"489","South America, regional",
"679","South Asia, regional",
"289","South of Sahara, regional",
"380","West Indies, regional",
