'Code','Country','Abbrev','Name'
'AT-1','Austria','BMF','Federal Ministry of Finance'
'AT-10','Austria','BMLFUW','Ministry for Agriculture and Environment'
'AT-11','Austria','BMLV','Ministry of Defense'
'AT-12','Austria','BMI','Ministry of Interior'
'AT-2','Austria','MIN','Various ministries'
'AT-3','Austria','Breg','Federal Government of Austria'
'AT-4','Austria','OeKB','Oesterreichische Kontrollbank AG'
'AT-5','Austria','BMA','Federal Ministry of Foreign Affairs'
'AT-6','Austria','Reg','Provincial governments, local communities'
'AT-8','Austria','ADA','Austrian Development Agency'
'AT-9','Austria','BM/BWK','Education and Science Ministry'
'AT-99','Austria','MISC','Miscellaneous'
'AU-5','Australia','AusAID','Australian Agency for International Development'
'AU-72','Australia','EFIC','Export Finance and Insurance Corporation'
'BE-10','Belgium','DGCD','Directorate General for Co-operation and Development'
'BE-20','Belgium','SPAE','Official Federal Service of Foreign Affairs (excl. DGCD)'
'BE-30','Belgium','SPFF','Official Federal Service of Finance'
'BE-31','Belgium','OND','Ducroire National Office'
'BE-39','Belgium','ASPF','Other Official Federal Services'
'BE-70','Belgium','MPRF','Flanders Official Regional Ministries'
'BE-80','Belgium','MPRW','Walloon Official Regional Ministries'
'BE-91','Belgium','MPRB','Brussels Official Regional Ministries'
'BE-94','Belgium','MPRG','German speaking Official Regional Ministries'
'CA-1','Canada','CIDA','Canadian International Development Agency'
'CA-2','Canada','IDRC','International Development Research Centre'
'CA-31','Canada','EDC','Export Development Corporation'
'CA-4','Canada','DF','Department of Finance'
'CH-1','Switzerland','FA','Federal Administration (various departments)'
'CH-10','Switzerland','SAEFL','Swiss Agency for the Environment, Forests and Landscape'
'CH-11','Switzerland','MUNIC','Municipalities'
'CH-4','Switzerland','SDC','Swiss Agency for Development and Co-operation'
'CH-5','Switzerland','Seco','State Secretariat for Economic Affairs'
'CH-6','Switzerland','DFA','Federal Department of Foreign Affairs'
'CH-7','Switzerland','SER','State Secretariat for Education and Research'
'CH-8','Switzerland','FOM','Federal Office for Migration'
'CH-9','Switzerland','DDPS','Federal Department for Defence, Civil Protection and Sports'
'DE-1','Germany','BMZ','Bundesministerium für Wirtschaftliche Zusammenarbeit und Entwicklung'
'DE-11','Germany','F O','Foreign Office'
'DE-12','Germany','L G','Federal States & Local Governments'
'DE-14','Germany','Fed Inst','Federal Institutions'
'DE-16','Germany','Fed Min','Federal Ministries'
'DE-17','Germany','Found','Foundations/Societies/Misc. (non federal)'
'DE-2','Germany','KFW','Kreditanstalt für Wiederaufbau'
