"File Name",Size,"Activity Count","Date last-generated","Date last-updated"
OT,"274.46 KB",55,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
IN,"1346.89 KB",248,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
CP,"22.45 KB",6,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
SD,"857.73 KB",199,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
AF,"817.23 KB",272,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
LE,"22.52 KB",7,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
GT,"15.6 KB",5,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
ED,"6.54 KB",2,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
MG,"19.79 KB",7,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
RU,"37.7 KB",12,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
LS,"80.54 KB",18,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
BA,"150.47 KB",44,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
SO,"746.55 KB",164,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
ZZ,"1380.44 KB",352,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
SQ,"13.8 KB",4,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
ID,"613.09 KB",113,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
BJ,"7.84 KB",2,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
CG,"10.33 KB",4,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
MD,"147.78 KB",38,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
EF,"24.2 KB",7,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
FA,"98.58 KB",25,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
TC,"61.7 KB",13,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
380,"428.62 KB",77,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
NG,"1437.35 KB",211,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
SS,"393.26 KB",87,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
JM,"63.56 KB",19,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
MN,"8.4 KB",2,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
LK,"263.48 KB",49,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
SU,"0.54 KB",0,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
BL,"47.27 KB",16,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
189,"87.9 KB",12,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
VN,"357.27 KB",78,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
RW,"551.47 KB",138,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
BI,"284.04 KB",66,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
GI,"0.54 KB",0,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
EB,"13.76 KB",3,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
KE,"1200.88 KB",239,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
CV,"7.55 KB",2,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
CF,"15.56 KB",6,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
UG,"975.7 KB",206,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
HT,"237.94 KB",37,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
NS,"12019.18 KB",2654,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
ZA,"327.52 KB",73,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
KG,"126.38 KB",28,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
EC,"10.8 KB",3,2012-03-02T10:59:57Z,"1970-01-01 01:00:00"
