Element,Attribute
iati-activity,hierarchy
1,3360
2,6449
iati-activity,default-currency
GBP,9809
iati-activity,lang
en,9809
iati-activity/title,lang
None found
iati-activity/description,lang
None found
reporting-org,type
10,9809
reporting-org,ref
GB-1,9809
activity-status,code
1,304
2,5087
3,16
4,4402
activity-date,type
end-actual,9761
end-planned,9761
start-actual,9809
start-planned,9809
activity-date,iso-date
1970,39140
participating-org,role
Extending,9809
Funding,9809
Implementing,5955
participating-org,type
,5955
10,19618
participating-org,ref
GB,9809
GB-1,9809
10000,47
11000,161
12000,75
13000,83
20000,383
21000,194
21002,1
21005,3
21009,1
21011,1
21016,45
21017,2
21018,4
21020,4
21021,20
21023,3
21029,2
21031,9
21032,10
21033,4
21038,7
21039,5
21045,5
21046,2
21049,3
21050,1
22000,767
23000,153
30000,3
30001,1
30004,3
30005,1
30006,2
30009,2
30011,2
31000,1
31001,7
31004,1
32000,42
40000,5
41000,55
41101,1
41104,2
41108,9
41110,6
41112,2
41114,210
41116,10
41119,28
41120,6
41121,22
41122,129
41123,5
41124,10
41125,1
41126,3
41127,32
41128,6
41129,4
41130,8
41140,57
41143,53
41147,1
41301,36
41302,7
41304,12
41307,7
41311,1
41313,2
41314,3
41316,2
42000,4
42003,4
42004,5
43000,17
43002,3
43004,1
44000,41
44001,308
44002,5
44003,2
44007,6
45000,1
46000,2
46002,19
46003,11
46004,14
46005,4
46009,7
46012,7
46013,1
46015,2
46017,1
46018,1
46019,2
47000,3
47005,5
47011,2
47013,4
47014,8
47015,2
47016,2
47017,1
47018,3
47025,1
47033,2
47034,4
47044,7
47045,4
47053,5
47056,1
47057,1
47063,2
47066,30
47073,2
47081,16
47086,7
47089,1
47105,1
47106,1
47107,2
47117,4
47122,2
50000,23
51000,416
52000,2130
sector,vocabulary
,11132
sector,code
11110,286
11120,87
11130,53
11182,43
11220,183
11230,41
11240,14
11320,57
11330,26
11420,13
11430,10
12110,284
12182,134
12220,229
12240,107
12250,105
12261,145
12262,71
12263,16
12281,65
13010,20
13020,280
13030,64
13040,348
13081,18
14010,114
14015,17
14020,39
14030,185
14040,28
14050,21
14081,7
15110,887
15130,155
15150,690
15210,112
15220,304
15230,37
15240,17
15250,25
15261,5
16010,453
16020,15
16030,12
16040,12
16062,101
16063,1
21010,151
21020,75
22010,45
22020,24
22030,9
22040,8
23010,74
23020,28
23030,69
23082,5
24010,194
24020,11
24030,35
24040,35
24081,26
25010,143
25020,52
31110,160
31120,112
31130,34
31163,30
31182,24
31191,19
31210,164
31220,33
31282,6
31310,17
31320,12
