iati-activity,16383,100
iati-activities,156,0
reporting-org,16383,100
other-identifier,0,0
activity-status,16383,100
activity-date,32766,200
contact-info,16383,100
participating-org,45980,280
sector,16383,100
policy-marker,130997,799
collaboration-type,0,0
default-tied-status,0,0
default-flow-type,16382,99
default-aid-type,0,0
default-finance-type,0,0
recipient-country,14920,91
recipient-region,1463,8
location,0,0
coordinates,0,0
budget,10642,64
planned-disbursement,26479,161
transaction-type,21951,133
provider-org,0,0
receiver-org,0,0
document-link,67379,411
related-activity,2529076,15437
conditions,0,0
result,0,0
indicator,0,0
