Element,Attribute
iati-activity,hierarchy
1,4209
2,12174
iati-activity,default-currency
USD,16383
iati-activity,lang
en,16383
iati-activity/title,lang
None found
iati-activity/description,lang
None found
reporting-org,type
10,16383
reporting-org,ref
SE-2,51
SE-6,16332
activity-status,code
1,16
2,8818
4,7549
activity-date,type
end-planned,16383
start-planned,16383
activity-date,iso-date
1993,8
1994,2
1996,12
1997,9
1998,13
1999,10
2000,139
2001,22
2002,128
2003,258
2004,226
2005,609
2006,1615
2007,909
2008,2046
2009,3507
2010,10026
2011,6075
2012,2896
2013,2111
2014,1227
2015,190
2016,699
2017,11
2018,4
2019,4
2020,8
2022,2
participating-org,role
Accountable,13214
Extending,16383
Funding,16383
participating-org,type
,13214
10,32766
participating-org,ref
ABC Honduras,3
ACF Action Contre la Faim,20
ACHEST African Center for Glob,2
ACWUA,Arab Countries Water Uti,3
AIDS Foundation,South Africa,5
AIEKA AB,2
AMRN Africa Midwives Research,5
AMS Arbetsförmedlingen,14
ANERELA,3
ARASA-AIDS Rights Alliance SYA,4
ARDHI Univ.Tanzania(ARU),4
AWEPA,4
Afghan Analyst Network,5
African Medical and Research F,6
African Union,2
Afrikagrupperna i Sverige,46
Aga Khan Foundation,5
Ain o Salish Kendra (ASK),3
Albanian Nat Employm Serv. NES,6
Ann Kämpe Projektkonsult AB,4
Arias stiftelsen Costa Rica,2
Asian Development Bank,16
Association of African Univers,2
BDO Consulting Group AB,2
BNWLA/Ban Nat Wom Lawyers Ass,3
Belgian Technical Cooperation,4
Blekinge Tekniska Högskola,3
Bolivia Transparente,2
Bolivian Min for DevPlanning,32
Bonz Unlimited AB,3
Boverket:Sw.Ag Housing/Plannin,2
C-Libre,Comité Libre Expresión,2
CARE International,2
CCICED - China Council,4
CEP,Corridor Empowerment Proje,5
CGCC,Center Counterterrorism C,2
CGD Centre Governance/Developm,4
CIP,Centro Integridade Public,2
CONCERN,3
COWIconsult,4
CSE Centre for Science&Enviro.,3
CSUCA Cons.Univ.Centroamerican,3
Camara Ind Comercio Santa Cruz,3
Cambodian Development Resource,7
Caritas,4
CeProSARD,6
Cent Nicarague Derecho Humanos,3
Cent f Construc Resolu Dispute,4
Center for Global Development,2
Center for Invest. Reporting,5
Centre for Policy Dialogue,3
Centro Agronómico Tropical de,8
Chalmers Tekniska Högskola,2
Chamber of Comme Industry/Agri,4
ChamberComme Indust South Swed,2
Citizens Association MOST,2
Civil Rights Defenders,13
Civil Society Promotion Center,3
Clowner utan gränser,2
Colling Water Management AB,4
Columbia University,2
Com C-americ Ambiente Sarrollo,3
Com Trab Ass Econ Mocambique,3
Comisión Verdad y la Reconcia,2
Commis. for Science&Technology,2
Consejo Latinoamericano de Cie,4
Consejo Nacional Anticorrupció,2
Consejo Nacional de Univ,8
Corte Suprema de Justicia,2
Cos.Nacional,mujeres,Ecuador,2
Council Europe Devel Bank CEDB,2
Council for the Development of,7
Cross Cult Proj Assoc, Danmark,10
DCAF(Cent.Control.Armed.Forces,4
DDG Danish De-mining Group,2
DFID Dep. for Int. Development,22
Danida,4
Danish Church Aid, DCA,2
Danish Refugee Counsil,23
Deloitte and Touche,2
Dep of Arts Cult Sci Techn,121
Department of Trade and Indust,5
Deutsche Gesell.Techn.Zus. GTZ,13
Developm.Bank Philippines,2
Diakonia,313
Document Center of Cambodia,5
Domstolsverket,18
EAC, East African Community,14
EANNASO,2
ECOVIC,3
ESAAG East and Southerna Afric,5
EU Integration Office,3
EURASIA Partnership Foundation,2
Eastern Asia Commercial Bank,2
Econ Com Latin Am/Caribbean,2
Economic Relations Division,10
Ecorys Nederland BV,3
Edita,2
Ekonomistyrningsverket,7
Electoral Institute of South A,8
Embassy of Norway-Nic,2
Energy Regulation Board,2
Ericsson AB,2
Ernst & Young AB,5
Escuela Agric Reg Tropl Humed,3
Espacio Regional Occident EROC,5
Estamos,4
Estonian School of Diplomacy,18
Eurasia Foundation,11
Europ Council Foreign Relation,2
Europarådet,2
European Bank for Reconstructi,22
European Development Fund,2
Europeiska Kommissionen,2
Europeiska Unionen,9
Exportrådet,17
External Resources Department,43
FAUTAPO,4
FCI France Coop.Internationale,2
FHI Statens Folkhälsoinstitut,6
FOJO Inst fortbildn journalist,2
FONAENF,2
FPCCIA,3
FPD,Foundation Prof.Developmen,6
FPH Fondation Partners.Health,8
FPP Forest People Programme,2
FUNDEVI Costa Rica,2
Facultad Lationamericana de Ci,3
Fed of Chambers Com/Ind, Sri L,2
Fiscalía General,El Salvador,2
Folke Bernadotteakademin,20
Food and Agriculture Organisat,71
Forum Syd,667
Friends of Earth Middle East,4
Fundacão do Desavolimento Admi,7
Försvarsmakten,2
GOHAB Konsult HB,2
GRM International AB,2
Georgian Young Lawyer's Assoc.,2
Global Action Plan(GAP),2
Global Reporting,3
Global Witness,3
Golden Valley Agric Res.Trust,3
Gordon Evans Associates,3
Goverm of Bosnia&Herzegovina,3
Governance & Develop Institute,2
Governm of Serbien/Montenegro,6
Government of Bangladesh,3
Government of Botswana,4
Government of Burkina Faso,29
Government of Kenya,57
Government of Mali,28
Government of Mozambique,159
Government of Nicaragua,2
Government of Rwanda,11
Government of Uganda,49
Grant Thornton,2
Göteborgs Universitet,7
HELVETAS,4
HIVOS, Humanist Institute for,4
HJP Int. Ltd,4
Hand in Hand International,2
Handelshögskolan, Stockholm,8
Handicap International,6
Hanoi Medical University,2
HelpAge Int. - ARDC,9
Hifab International AB,5
Human Rights Dev. Initiative,6
Hyltenstan & Son AB,2
Högskolan i Jönköping,2
IAS International Aid Services,4
IBRD,Intl Bank Reconstruction,11
ICMPD, International Centre fo,2
ICTJ,5
IDA   Intl Dev.Association,2
IFC, International Fin Corp.,15
IHAA International HIV/AIDS Al,6
INAM, Honduras,4
INRUD,3
INTERPEACE,4
IOM Internat. Org Migration,32
IUCEA Inter-UnivCouncil EastAf,2
IVA,Ingenjörsvetenskapsakademi,2
IVL Svenska Miljöinstitutet AB,8
Ibis,3
InDevelop-IPM,27
Inst Estud Estratég Pol Publ,2
Inst Interam Derechos Humanos,6
Inst.for Dev.Studies(IDS),2
Institute for Democray SouthAf,2
Institute of Social Studies,4
Int Centre Diarrhoeal Disease,4
Int Legal Assist. Consortium,2
Int Mother and Child Health,2
Int Org for Standardization,3
Inter-American Development Ban,10
Inter-American Dialogue,2
Internal decision Letter of Co,724
International AIDS Society,IAS,2
International Alert,5
International Food Policy Res,4
International Fund Agriculture,5
International Institute for Ed,3
