Element,Attribute
activity-date
1959,1
1961,15
1962,12
1963,10
1964,18
1965,10
1966,16
1967,13
1968,22
1969,26
1970,276
1971,32
1972,40
1973,56
1974,48
1975,49
1976,48
1977,75
1978,79
1979,83
1980,105
1981,83
1982,89
1983,88
1984,86
1985,95
1986,99
1987,87
1988,100
1989,98
1990,102
1991,138
1992,148
1993,145
1994,189
1995,188
1996,274
1997,278
1998,326
1999,331
2000,344
2001,360
2002,343
2003,388
2004,511
2005,466
2006,436
2007,431
2008,411
2009,471
2010,439
2011,560
2012,391
2013,311
2014,200
2015,178
2016,133
2017,43
2018,5
2019,2
2020,1
2022,1
2024,1
