iati-activity,809,100
iati-activities,59,7
reporting-org,809,100
other-identifier,809,100
activity-status,809,100
activity-date,1618,200
contact-info,809,100
participating-org,1618,200
sector,2722,336
policy-marker,0,0
collaboration-type,0,0
default-tied-status,809,100
default-flow-type,809,100
default-aid-type,809,100
default-finance-type,809,100
recipient-country,737,91
recipient-region,72,8
location,0,0
coordinates,0,0
budget,0,0
planned-disbursement,0,0
transaction-type,10974,1356
provider-org,5533,683
receiver-org,5441,672
document-link,0,0
related-activity,0,0
conditions,0,0
result,0,0
indicator,0,0
