iati-activity,11,100
iati-activities,1,9
reporting-org,11,100
other-identifier,11,100
activity-status,11,100
activity-date,22,200
contact-info,11,100
participating-org,22,200
sector,14,127
policy-marker,0,0
collaboration-type,0,0
default-tied-status,0,0
default-flow-type,0,0
default-aid-type,11,100
default-finance-type,0,0
recipient-country,3,27
recipient-region,8,72
location,0,0
coordinates,0,0
budget,0,0
planned-disbursement,0,0
transaction-type,35,318
provider-org,1,9
receiver-org,0,0
document-link,0,0
related-activity,20,181
conditions,0,0
result,0,0
indicator,0,0
