iati-activity,6,100
iati-activities,1,16
reporting-org,6,100
other-identifier,0,0
activity-status,6,100
activity-date,12,200
contact-info,6,100
participating-org,6,100
sector,8,133
policy-marker,0,0
collaboration-type,6,100
default-tied-status,0,0
default-flow-type,6,100
default-aid-type,6,100
default-finance-type,0,0
recipient-country,6,100
recipient-region,0,0
location,0,0
coordinates,0,0
budget,6,100
planned-disbursement,0,0
transaction-type,0,0
provider-org,0,0
receiver-org,0,0
document-link,0,0
related-activity,5,83
conditions,0,0
result,4,66
indicator,0,0
