iati-activity,1,100
iati-activities,1,100
reporting-org,12,1200
other-identifier,1,100
activity-status,1,100
activity-date,1,100
contact-info,2,200
participating-org,0,0
sector,0,0
policy-marker,0,0
collaboration-type,1,100
default-tied-status,1,100
default-flow-type,1,100
default-aid-type,1,100
default-finance-type,1,100
recipient-country,1,100
recipient-region,1,100
location,0,0
coordinates,0,0
budget,0,0
planned-disbursement,0,0
transaction-type,0,0
provider-org,0,0
receiver-org,0,0
document-link,0,0
related-activity,0,0
conditions,0,0
result,0,0
indicator,0,0
