iati-activity,968,100
iati-activities,140,14
reporting-org,968,100
other-identifier,0,0
activity-status,968,100
activity-date,1191,123
contact-info,968,100
participating-org,968,100
sector,0,0
policy-marker,0,0
collaboration-type,0,0
default-tied-status,968,100
default-flow-type,0,0
default-aid-type,968,100
default-finance-type,968,100
recipient-country,1234,127
recipient-region,0,0
location,0,0
coordinates,0,0
budget,11996,1239
planned-disbursement,0,0
transaction-type,6878,710
provider-org,0,0
receiver-org,0,0
document-link,0,0
related-activity,0,0
conditions,0,0
result,54960,5677
indicator,54960,5677
