iati-activity,5274,100
iati-activities,148,2
reporting-org,5275,100
other-identifier,0,0
activity-status,5276,100
activity-date,10548,200
contact-info,5274,100
participating-org,16364,310
sector,44337,840
policy-marker,5274,100
collaboration-type,5274,100
default-tied-status,5274,100
default-flow-type,5274,100
default-aid-type,5274,100
default-finance-type,5274,100
recipient-country,5199,98
recipient-region,75,1
location,0,0
coordinates,0,0
budget,0,0
planned-disbursement,0,0
transaction-type,18027,341
provider-org,18027,341
receiver-org,18027,341
document-link,1,0
related-activity,783,14
conditions,0,0
result,0,0
indicator,0,0
