iati-activity,38,100
iati-activities,1,2
reporting-org,39,102
other-identifier,0,0
activity-status,38,100
activity-date,152,400
contact-info,38,100
participating-org,102,268
sector,55,144
policy-marker,43,113
collaboration-type,38,100
default-tied-status,0,0
default-flow-type,38,100
default-aid-type,38,100
default-finance-type,0,0
recipient-country,55,144
recipient-region,6,15
location,81,213
coordinates,57,150
budget,38,100
planned-disbursement,0,0
transaction-type,38,100
provider-org,38,100
receiver-org,0,0
document-link,5,13
related-activity,0,0
conditions,0,0
result,0,0
indicator,0,0
