iati-activity,1600,100
iati-activities,1,0
reporting-org,1601,100
other-identifier,0,0
activity-status,1600,100
activity-date,1600,100
contact-info,1422,88
participating-org,1600,100
sector,2502,156
policy-marker,0,0
collaboration-type,1600,100
default-tied-status,1600,100
default-flow-type,1600,100
default-aid-type,1600,100
default-finance-type,0,0
recipient-country,1672,104
recipient-region,1600,100
location,0,0
coordinates,0,0
budget,0,0
planned-disbursement,0,0
transaction-type,3032,189
provider-org,0,0
receiver-org,0,0
document-link,0,0
related-activity,0,0
conditions,0,0
result,0,0
indicator,0,0
