iati-activity,749,100
iati-activities,56,7
reporting-org,749,100
other-identifier,749,100
activity-status,749,100
activity-date,1498,200
contact-info,749,100
participating-org,1498,200
sector,2639,352
policy-marker,0,0
collaboration-type,0,0
default-tied-status,749,100
default-flow-type,749,100
default-aid-type,749,100
default-finance-type,749,100
recipient-country,704,93
recipient-region,45,6
location,0,0
coordinates,0,0
budget,0,0
planned-disbursement,0,0
transaction-type,10367,1384
provider-org,5279,704
receiver-org,5088,679
document-link,0,0
related-activity,0,0
conditions,0,0
result,0,0
indicator,0,0
