iati-activity,9809,100
iati-activities,116,1
reporting-org,9809,100
other-identifier,0,0
activity-status,9809,100
activity-date,39140,399
contact-info,9809,100
participating-org,25573,260
sector,11132,113
policy-marker,51592,525
collaboration-type,6436,65
default-tied-status,9809,100
default-flow-type,6449,65
default-aid-type,6449,65
default-finance-type,6057,61
recipient-country,3967,40
recipient-region,2472,25
location,0,0
coordinates,0,0
budget,17118,174
planned-disbursement,0,0
transaction-type,40023,408
provider-org,33821,344
receiver-org,24542,250
document-link,830,8
related-activity,42359,431
conditions,0,0
result,0,0
indicator,0,0
