iati-activity,796,100
iati-activities,133,16
reporting-org,796,100
other-identifier,796,100
activity-status,796,100
activity-date,1064,133
contact-info,0,0
participating-org,2388,300
sector,796,100
policy-marker,6368,800
collaboration-type,796,100
default-tied-status,0,0
default-flow-type,796,100
default-aid-type,796,100
default-finance-type,796,100
recipient-country,530,66
recipient-region,266,33
location,0,0
coordinates,0,0
budget,0,0
planned-disbursement,0,0
transaction-type,4488,563
provider-org,0,0
receiver-org,0,0
document-link,0,0
related-activity,0,0
conditions,0,0
result,0,0
indicator,0,0
