Element,Attribute
iati-activity,hierarchy
1,2752
iati-activity,default-currency
USD,2752
iati-activity,lang
en,2752
iati-activity/title,lang
None found
iati-activity/description,lang
None found
reporting-org,type
10,2752
reporting-org,ref
FI-3,2752
activity-status,code
2,2752
activity-date,type
end-planned,2604
start-planned,2610
activity-date,iso-date
1993,1
1996,1
1999,6
2000,23
2001,27
2002,28
2003,57
2004,73
2005,176
2006,125
2007,336
2008,526
2009,1013
2010,1793
2011,437
2012,313
2013,209
2014,32
2015,9
2016,16
2017,4
2018,2
2020,4
2021,1
2023,1
2025,1
participating-org,role
extending,2752
funding,2752
implementing,2546
participating-org,type
,2546
10,5504
participating-org,ref
,58
FI,2752
FI-1,55
FI-2,268
FI-3,2429
10000,303
11000,553
12000,2
20000,62
21000,19
21016,4
21039,1
21053,1
22000,981
23000,6
30000,2
30011,4
40000,3
41000,20
41100,2
41101,1
41103,1
41107,1
41108,2
41110,1
41112,3
41114,18
41116,15
41118,1
41119,4
41120,2
41121,14
41122,11
41123,3
41124,3
41125,2
41126,1
41127,1
41128,1
41130,3
41134,2
41136,1
41137,1
41138,1
41140,9
41141,1
41301,12
41302,4
41303,1
41304,10
41305,1
41306,1
41307,10
41308,1
41309,1
41310,17
41313,3
41314,2
42000,3
42001,14
42003,1
42004,1
43000,1
44000,19
44002,3
44004,2
44007,1
45000,1
45001,1
46002,2
46003,4
46004,3
46005,1
46012,3
46013,1
46015,2
47000,1
47015,1
47036,1
47042,1
47044,5
47050,1
47058,2
47059,1
47066,10
47073,1
47077,3
47078,1
47080,1
47081,7
47106,2
50000,190
51000,25
52000,43
sector,vocabulary
,2752
sector,code
11110,62
11120,20
11130,22
11182,2
11220,39
11230,66
11240,8
11320,1
11330,31
11420,10
11430,2
12110,14
12181,5
12182,2
12191,38
12220,24
12230,12
12240,10
12250,6
12261,41
12262,1
12263,1
12281,12
13010,5
13020,18
13030,3
13040,27
13081,1
14010,18
14015,1
14020,6
14022,2
14030,34
14040,6
14050,9
14081,2
15110,25
15111,7
15112,3
15113,8
15130,30
15150,186
15151,11
15152,2
15153,22
15160,95
15170,76
15210,9
15220,57
15230,27
15240,1
15250,7
16010,64
16020,77
16050,47
16061,16
16062,3
16063,2
16064,24
21010,2
21020,2
21040,2
22010,9
22020,7
22030,7
22040,37
23010,8
23020,10
23030,15
23040,7
23061,2
23062,1
23065,2
23067,3
23068,3
23070,19
23081,1
23082,1
24010,2
24030,13
24040,19
25010,26
31110,5
31120,19
31130,2
31150,7
31161,9
31162,5
31163,2
31165,5
31166,14
31181,5
31182,6
31191,1
31193,1
31194,1
31210,29
31220,23
31261,2
31281,7
31282,1
31291,1
31320,5
31391,1
32110,1
32130,37
32140,12
32161,6
32162,8
32163,4
32164,3
32166,3
32167,1
32168,4
32169,11
32170,1
32171,41
32172,4
32182,1
32210,7
32220,3
32310,2
33110,9
33120,1
33140,2
33181,3
33210,7
41010,45
41020,6
41030,28
41040,3
41050,3
41081,46
41082,4
43010,83
43030,1
43040,87
43050,4
43081,5
43082,17
51010,6
60030,1
72010,79
72040,14
72050,2
73010,16
74010,32
91010,128
92010,13
92020,6
92030,28
93010,2
99810,182
99820,31
policy-marker,code
1,834
2,559
3,1233
4,323
5,83
6,153
8,57
policy-marker,vocabulary
,3242
policy-marker,significance
1,1995
2,1247
default-tied-status,code
4,579
5,2173
default-flow-type,code
10,2665
20,67
30,1
35,18
50,1
default-aid-type,code
A01,1
B01,8
B02,83
B03,20
B04,8
C01,945
D01,5
D02,1
G01,65
H01,6
default-finance-type,code
110,2621
210,15
410,13
411,58
510,2
512,25
710,17
911,1
recipient-country,code
AF,39
AG,2
AL,4
AM,4
AO,21
AR,14
AZ,6
BA,12
BB,1
BD,20
BF,1
BI,7
BJ,5
BO,14
BR,27
BT,4
BW,8
BY,10
BZ,4
CD,16
CF,6
CG,1
CI,3
CL,16
CM,2
CN,115
CO,20
CR,3
CU,1
CV,2
DM,1
DO,4
DZ,3
EC,13
EG,26
ER,5
ET,92
FJ,2
GA,1
GE,8
GH,6
GM,3
GN,1
GT,10
GW,1
GY,1
HN,9
HR,25
HT,22
ID,14
IN,99
IQ,6
IR,4
JM,1
JO,1
KE,112
KG,16
KH,36
KN,1
