iati-activity,40,100
iati-activities,1,2
reporting-org,40,100
other-identifier,0,0
activity-status,40,100
activity-date,80,200
contact-info,40,100
participating-org,103,257
sector,135,337
policy-marker,0,0
collaboration-type,40,100
default-tied-status,40,100
default-flow-type,40,100
default-aid-type,40,100
default-finance-type,40,100
recipient-country,43,107
recipient-region,0,0
location,63,157
coordinates,0,0
budget,40,100
planned-disbursement,0,0
transaction-type,38,95
provider-org,38,95
receiver-org,34,85
document-link,1,2
related-activity,0,0
conditions,0,0
result,9,22
indicator,0,0
