iati-activity,10334,100
iati-activities,102,0
reporting-org,10334,100
other-identifier,10334,100
activity-status,10334,100
activity-date,20668,200
contact-info,10334,100
participating-org,31002,300
sector,10334,100
policy-marker,9471,91
collaboration-type,10334,100
default-tied-status,10334,100
default-flow-type,10334,100
default-aid-type,10334,100
default-finance-type,10334,100
recipient-country,10334,100
recipient-region,10334,100
location,10334,100
coordinates,0,0
budget,0,0
planned-disbursement,0,0
transaction-type,20668,200
provider-org,20668,200
receiver-org,20668,200
document-link,0,0
related-activity,0,0
conditions,0,0
result,10334,100
indicator,10334,100
