Element,Attribute
iati-activity,hierarchy
,16392
iati-activity,default-currency
eur,16392
iati-activity,lang
es,16392
iati-activity/title,lang
None found
iati-activity/description,lang
None found
reporting-org,type
10,16392
reporting-org,ref
50,16392
activity-status,code
2,16392
activity-date,type
end-planned,16392
start-actual,16392
activity-date,iso-date
1991,60
1992,60
1998,5
1999,5
2001,10
2002,10
2003,247
2004,228
2005,22
2006,68
2007,332
2008,443
2009,1191
2010,14853
2011,11966
2012,1559
2013,1392
2014,286
2015,47
participating-org,role
extending,16392
funding,16392
implementing,16392
participating-org,type
10,27944
15,9726
21,64
22,7071
30,53
40,1482
60,371
70,495
80,1970
participating-org,ref
ESP-0,1535
ESP-1,1
ESP-10,8
ESP-100,1
ESP-1000,1
ESP-1001,1
ESP-1002,1
ESP-1003,1
ESP-1004,2
ESP-1005,1
ESP-1006,1
ESP-1007,33
ESP-1008,1
ESP-1009,1
ESP-101,1
ESP-1010,1
ESP-1011,1
ESP-1012,2
ESP-1013,1
ESP-1014,1
ESP-1015,1
ESP-1016,4
ESP-1017,1
ESP-1018,1
ESP-1019,1
ESP-102,1
ESP-1020,1
ESP-1021,2
ESP-1022,1
ESP-1023,4
ESP-1024,1
ESP-1025,2
ESP-1026,1
ESP-1027,1
ESP-1028,1
ESP-1029,1
ESP-103,3
ESP-1030,1
ESP-1031,1
ESP-1032,24
ESP-1033,1
ESP-1034,1
ESP-1035,1
ESP-1036,1
ESP-1037,1
ESP-1038,5
ESP-1039,1
ESP-104,10
ESP-1040,1
ESP-1041,1
ESP-1042,1
ESP-1043,3
ESP-1044,1
ESP-1045,1
ESP-1046,1
ESP-1047,1
ESP-1048,1
ESP-1049,1
ESP-105,2
ESP-1050,1
ESP-1051,1
ESP-1052,1
ESP-1053,1
ESP-1054,1
ESP-1055,1
ESP-1056,1
ESP-1057,1
ESP-1058,1
ESP-1059,1
ESP-106,1
ESP-1060,1
ESP-1061,1
ESP-1062,3
ESP-1063,1
ESP-1064,2
ESP-1065,5
ESP-1066,1
ESP-1067,3
ESP-1068,1
ESP-1069,7
ESP-107,1
ESP-1070,1
ESP-1071,1
ESP-1072,1
ESP-1073,1
ESP-1074,1
ESP-1075,1
ESP-1076,2
ESP-1077,1
ESP-1078,3
ESP-1079,1
ESP-108,1
ESP-1080,5
ESP-1081,1
ESP-1082,1
ESP-1083,1
ESP-1084,1
ESP-1085,1
ESP-1086,1
ESP-1087,1
ESP-1088,1
ESP-1089,2
ESP-109,1
ESP-1090,2
ESP-1091,1
ESP-1092,1
ESP-1093,1
ESP-1094,1
ESP-1095,2
ESP-1096,1
ESP-1097,1
ESP-1098,1
ESP-1099,1
ESP-11,1
ESP-110,1
ESP-1100,2
ESP-1101,1
ESP-1102,1
ESP-1103,3
ESP-1104,1
ESP-1105,1
ESP-1106,1
ESP-1107,1
ESP-1108,1
ESP-1109,1
ESP-111,1
ESP-1110,1
ESP-1111,1
ESP-1112,1
ESP-1113,1
ESP-1114,4
ESP-1115,1
ESP-1116,1
ESP-1117,5
ESP-1118,1
ESP-1119,1
ESP-112,1
ESP-1120,1
ESP-1121,1
ESP-1122,1
ESP-1123,1
ESP-1124,1
ESP-1125,2
ESP-1126,1
ESP-1127,1
ESP-1128,1
ESP-1129,1
ESP-113,1
ESP-1130,1
ESP-1131,6
ESP-1132,1
ESP-1133,4
ESP-1134,1
ESP-1135,2
ESP-1136,1
ESP-1137,1
ESP-1138,1
ESP-1139,1
ESP-114,3
ESP-1140,2
ESP-1141,1
ESP-1142,2
ESP-1143,3
ESP-1144,1
ESP-1145,1
ESP-1146,1
ESP-1147,1
ESP-1148,1
ESP-1149,2
ESP-115,1
ESP-1150,1
ESP-1151,4
ESP-1152,1
ESP-1153,1
ESP-1154,2
ESP-1155,1
ESP-1156,1
ESP-1157,1
ESP-1158,1
ESP-1159,1
ESP-116,1
ESP-1160,6
ESP-1161,1
ESP-1162,1
ESP-1163,1
ESP-1164,2
ESP-1165,1
ESP-1166,1
ESP-1167,1
ESP-1168,14
ESP-1169,1
ESP-117,3
ESP-1170,3
ESP-1171,1
ESP-1172,1
ESP-1173,1
ESP-1174,1
ESP-1175,1
ESP-1176,1
ESP-1177,1
ESP-1178,1
ESP-1179,1
ESP-118,3
ESP-1180,1
ESP-1181,1
ESP-1182,1
ESP-1183,1
ESP-1184,1
ESP-1185,1
ESP-1186,1
ESP-1187,1
ESP-1188,1
ESP-1189,1
ESP-119,2
ESP-1190,1
ESP-1191,1
ESP-1192,3
ESP-1193,1
ESP-1194,1
ESP-1195,1
ESP-1196,4
ESP-1197,1
ESP-1198,1
ESP-1199,1
ESP-12,1
ESP-120,2
ESP-1200,2
ESP-1201,1
ESP-1203,1
ESP-1204,1
ESP-1205,1
ESP-1206,1
ESP-1207,1
ESP-1208,1
ESP-1209,1
ESP-121,3
ESP-1210,1
ESP-1211,1
ESP-1212,1
ESP-1213,2
ESP-1214,1
ESP-1215,1
ESP-1216,34
ESP-1217,1
ESP-1218,1
ESP-1219,1
ESP-122,2
ESP-1220,1
ESP-1221,1
ESP-1222,1
ESP-1223,2
ESP-1224,2
ESP-1225,5
ESP-1226,1
ESP-1227,1
ESP-1228,1
ESP-1229,4
ESP-123,4
ESP-1230,17
ESP-1231,2
ESP-1232,1
ESP-1233,1
ESP-1234,3
ESP-1235,1
ESP-1236,1
ESP-1237,1
ESP-1239,1
ESP-124,1
ESP-1240,1
ESP-1241,1
ESP-1242,1
ESP-1243,1
ESP-1244,1
ESP-1245,9
ESP-1246,9
ESP-1247,1
ESP-1248,1
ESP-1249,1
ESP-125,1
ESP-1250,1
ESP-1251,1
ESP-1252,2
ESP-1253,6
ESP-1254,1
ESP-1255,1
ESP-1256,1
ESP-1257,1
ESP-1258,3
ESP-1259,1
ESP-126,4
ESP-1260,1
ESP-1261,43
ESP-1262,40
ESP-1263,1
ESP-1264,1
ESP-1265,1
ESP-1266,1
ESP-1267,1
ESP-1268,3
ESP-1269,1
ESP-127,3
ESP-1270,4
ESP-1271,1
ESP-1272,7
ESP-1273,1
ESP-1274,1
ESP-1275,1
ESP-1276,1
ESP-1277,1
ESP-1278,1
ESP-1279,1
ESP-128,2
ESP-1280,1
ESP-1281,1
ESP-1282,1
ESP-1283,1
ESP-1284,1
ESP-1285,2
ESP-1286,1
ESP-1287,1
ESP-1288,1
ESP-1289,1
ESP-129,1
ESP-1290,1
ESP-1291,1
ESP-1292,1
ESP-1293,1
ESP-1294,4
ESP-1295,12
ESP-1296,2
ESP-1297,1
ESP-1298,8
ESP-1299,11
ESP-13,1
ESP-130,1
ESP-1300,1
ESP-1301,3
ESP-1302,1
ESP-1303,1
ESP-1304,19
ESP-1305,2
ESP-1306,1
ESP-1307,1
ESP-1308,1
ESP-1309,1
ESP-131,1
ESP-1310,1
ESP-1311,1
ESP-1312,2
ESP-1313,1
ESP-1314,1
ESP-1315,2
ESP-1316,3
ESP-1317,1
ESP-1318,5
ESP-1319,1
ESP-132,4
ESP-1320,1
ESP-1321,2
ESP-1322,1
ESP-1324,2
ESP-1325,1
ESP-1326,1
ESP-1327,1
ESP-1328,1
ESP-1329,1
ESP-133,2
ESP-1330,1
ESP-1331,1
ESP-1332,1
ESP-1333,1
ESP-1334,1
ESP-1335,1
ESP-1336,1
ESP-1337,1
ESP-1338,1
ESP-1339,15
ESP-134,1
ESP-1340,1
ESP-1341,1
ESP-1342,1
ESP-1343,2
ESP-1344,1
ESP-1345,1
ESP-1346,1
ESP-1347,1
ESP-1348,1
ESP-1349,3
ESP-135,2
ESP-1350,1
ESP-1351,1
ESP-1352,1
ESP-1353,1
ESP-1354,1
ESP-1355,1
ESP-1357,1
ESP-1358,1
ESP-1359,1
ESP-136,1
ESP-1360,2
ESP-1361,1
ESP-1362,1
ESP-1363,1
ESP-1364,1
ESP-1365,1
ESP-1366,1
ESP-1367,22
ESP-1369,22
ESP-137,1
ESP-1370,1
ESP-1371,1
ESP-1372,1
ESP-1373,2
ESP-1375,1
ESP-1376,1
ESP-1377,1
ESP-1378,2
ESP-1379,17
ESP-138,1
ESP-1380,5
ESP-1381,1
ESP-1382,1
ESP-1383,5
ESP-1384,1
ESP-1385,1
ESP-1386,1
ESP-1387,1
ESP-1388,1
ESP-1389,1
ESP-139,1
ESP-1390,1
ESP-1391,1
ESP-1392,1
ESP-1393,2
ESP-1394,1
ESP-1395,1
ESP-1396,11
ESP-1397,1
ESP-1398,1
ESP-1399,1
ESP-14,11
ESP-140,1
ESP-1400,1
ESP-1401,1
ESP-1402,10
ESP-1403,3
ESP-1404,1
ESP-1405,1
ESP-1406,1
ESP-1407,1
ESP-1408,2
ESP-1409,1
ESP-141,1
ESP-1410,1
ESP-1411,5
ESP-1413,1
ESP-1414,1
ESP-1415,2
ESP-1416,3
ESP-142,1
ESP-1420,3
ESP-1421,12
ESP-1422,1
ESP-1423,1
ESP-1424,1
ESP-1425,1
ESP-1426,1
ESP-1427,1
ESP-1428,1
ESP-1429,1
ESP-143,1
ESP-1430,1
ESP-1431,1
ESP-1432,2
ESP-1433,1
ESP-1434,10
ESP-1435,1
ESP-1436,3
ESP-1437,3
ESP-1438,4
ESP-1439,1
ESP-144,1
ESP-1440,2
ESP-1441,1
ESP-1442,1
ESP-1443,1
