iati-activity,2607,100
iati-activities,1,0
reporting-org,2608,100
other-identifier,0,0
activity-status,2607,100
activity-date,10428,400
contact-info,0,0
participating-org,7821,300
sector,2607,100
policy-marker,18249,700
collaboration-type,2607,100
default-tied-status,2607,100
default-flow-type,2607,100
default-aid-type,2607,100
default-finance-type,2607,100
recipient-country,1879,72
recipient-region,806,30
location,0,0
coordinates,0,0
budget,0,0
planned-disbursement,0,0
transaction-type,21275,816
provider-org,21275,816
receiver-org,21275,816
document-link,0,0
related-activity,0,0
conditions,0,0
result,0,0
indicator,0,0
