Element,Attribute
iati-activity,hierarchy
1,2607
iati-activity,default-currency
EUR,2607
iati-activity,lang
nl,2607
iati-activity/title,lang
None found
iati-activity/description,lang
None found
reporting-org,type
Government,2607
reporting-org,ref
NL-1,2607
activity-status,code
2,2211
3,12
4,384
activity-date,type
end-actual,2607
end-planned,2607
start-actual,2607
start-planned,2607
activity-date,iso-date
1970,2223
1997,2
2000,3
2001,13
2002,40
2003,26
2004,71
2005,184
2006,431
2007,421
2008,661
2009,974
2010,1178
2011,2652
2012,709
2013,412
2014,196
2015,136
2016,74
2017,14
2018,1
2019,3
2020,3
2044,1
participating-org,role
Extending,2607
Funding,2607
Implementing,2607
participating-org,type
Developing Country Based NGO,497
Donor Country Based NGO,407
European Union Institution,6
Government,5214
International Monetary Fund (IMF),5
International NGO,270
Network,13
OTHER ,2
Other,221
Other Multilateral Institutions,85
PUBLIC SECTOR INSTITUTONS,532
Public-Private Partnership (PPP),35
Regional Development Banks (RDB),28
United Nations Agency, Fund or Commision (UN),264
University, college or other teaching institution, reaserch institute or think-tank,158
World Bank Group (WB),83
World Trade Organisation (WTO),1
participating-org,ref
NL,2607
NL-1,2607
10000,2
11000,245
12000,228
13000,57
21000,185
21004,1
21005,1
21010,1
21011,2
21013,1
21016,18
21017,2
21020,2
21021,1
21023,2
21026,1
21031,1
21032,8
21033,16
21037,1
21038,2
21042,5
21043,3
21045,2
21046,1
21049,5
21053,2
21057,5
21058,2
22000,407
23000,497
30001,2
30004,3
30005,1
30006,1
30009,1
30011,15
31000,12
31001,1
31004,3
32000,9
41000,12
41101,1
41103,1
41106,1
41108,4
41110,2
41112,2
41114,92
41116,3
41119,12
41120,1
41121,11
41122,38
41123,1
41124,13
41127,4
41128,6
41130,7
41134,1
41140,9
41301,8
41302,8
41304,11
41305,4
41307,7
41313,4
41315,1
42000,3
42001,1
42003,2
43001,5
44000,5
44001,66
44003,3
44004,8
44007,1
45001,1
46000,1
46002,6
46004,15
46012,1
46015,2
46019,3
47000,13
47005,1
47015,2
47018,1
47029,1
47035,1
47043,1
47044,1
47045,3
47051,1
47053,1
47056,2
47058,2
47059,2
47066,24
47069,4
47073,1
47075,2
47077,1
47078,1
47079,5
47081,7
47083,1
47089,1
47093,1
47102,1
47105,1
47106,2
47122,1
50000,2
51000,158
52000,221
sector,vocabulary
,2607
sector,code
11110,25
11120,13
11130,6
11182,9
11220,67
11230,6
11240,4
11320,5
11330,24
11420,23
11430,5
12110,23
12181,1
12182,20
12191,4
12220,23
12230,3
12240,3
12250,8
12261,2
12262,1
12263,2
12281,2
13010,5
13020,55
13030,4
13040,44
13081,1
14010,56
14015,11
14020,15
14021,4
14022,1
14030,35
14032,5
14040,10
14050,5
14081,7
15110,105
15111,45
15112,7
15113,7
15120,1
15130,66
15150,105
15151,19
15152,5
15153,33
15160,383
15170,95
15210,33
15220,106
15230,23
15240,6
15250,8
15261,1
16010,12
16020,7
16030,1
16040,1
16050,11
16061,71
16062,4
16063,1
16064,25
21010,3
21040,4
21050,2
22010,9
22020,1
22030,10
22040,2
23010,7
23030,11
23040,3
