iati-activity,834,100
iati-activities,59,7
reporting-org,834,100
other-identifier,0,0
activity-status,834,100
activity-date,1668,200
contact-info,0,0
participating-org,834,100
sector,1985,238
policy-marker,0,0
collaboration-type,0,0
default-tied-status,0,0
default-flow-type,0,0
default-aid-type,0,0
default-finance-type,0,0
recipient-country,729,87
recipient-region,105,12
location,834,100
coordinates,0,0
budget,460,55
planned-disbursement,0,0
transaction-type,2111,253
provider-org,0,0
receiver-org,0,0
document-link,0,0
related-activity,0,0
conditions,0,0
result,0,0
indicator,0,0
