iati-activity,3,100
iati-activities,3,100
reporting-org,3,100
other-identifier,0,0
activity-status,3,100
activity-date,6,200
contact-info,3,100
participating-org,5,166
sector,5,166
policy-marker,0,0
collaboration-type,0,0
default-tied-status,0,0
default-flow-type,0,0
default-aid-type,0,0
default-finance-type,0,0
recipient-country,7,233
recipient-region,0,0
location,0,0
coordinates,0,0
budget,3,100
planned-disbursement,0,0
transaction-type,3,100
provider-org,3,100
receiver-org,2,66
document-link,2,66
related-activity,0,0
conditions,0,0
result,0,0
indicator,0,0
