iati-activity,22502,100
iati-activities,156,0
reporting-org,22502,100
other-identifier,0,0
activity-status,22502,100
activity-date,45004,200
contact-info,22502,100
participating-org,63299,281
sector,22502,100
policy-marker,179428,797
collaboration-type,0,0
default-tied-status,0,0
default-flow-type,22501,99
default-aid-type,0,0
default-finance-type,0,0
recipient-country,15364,68
recipient-region,7138,31
location,0,0
coordinates,0,0
budget,15161,67
planned-disbursement,34855,154
transaction-type,29258,130
provider-org,0,0
receiver-org,0,0
document-link,66235,294
related-activity,3135939,13936
conditions,0,0
result,0,0
indicator,0,0
