iati-activity,25,100
iati-activities,1,4
reporting-org,25,100
other-identifier,1,4
activity-status,25,100
activity-date,100,400
contact-info,30,120
participating-org,0,0
sector,0,0
policy-marker,0,0
collaboration-type,25,100
default-tied-status,25,100
default-flow-type,25,100
default-aid-type,25,100
default-finance-type,25,100
recipient-country,25,100
recipient-region,25,100
location,0,0
coordinates,0,0
budget,25,100
planned-disbursement,0,0
transaction-type,0,0
provider-org,0,0
receiver-org,0,0
document-link,0,0
related-activity,0,0
conditions,0,0
result,0,0
indicator,0,0
