'Code','Country','Abbrev','Name'
'','','','UNITED NATIONS AGENCIES, FUNDS AND COMMISSIONS'
'41101','','UNCCD','Convention to Combat Desertification'
'41102','','DLCO-EA','Desert Locust Control Organisation for Eastern Africa'
'41103','','ECA','Economic Commission for Africa'
'41104','','ECLAC','Economic Commission for Latin America and the Caribbean'
'41105','','ESCWA','Economic and Social Commission for Western Asia'
'41106','','ESCAP','Economic and Social Commission for Asia and the Pacific'
'41107','','IAEA-TCF','International Atomic Energy Agency (Contributions to Technical Cooperation Fund Only)'
'41108','','IFAD','International Fund for Agricultural Development'
'41109','','INSTRAW','International Research and Training Institute for the Advancement of Women'
'41110','','UNAIDS','Joint United Nations Programme on HIV/AIDS'
'41111','','UNCDF','United Nations Capital Development Fund'
'41112','','UNCTAD','United Nations Conference on Trade and Development'
'41114','','UNDP','United Nations Development Programme'
'41116','','UNEP','United Nations Environment Programme'
'41118','','UNFCCC','United Nations Framework Convention on Climate Change'
'41119','','UNFPA','United Nations Population Fund'
'41120','','UN Habitat','United Nations Human Settlement Programme'
'41121','','UNHCR','United Nations Office of the United Nations High Commissioner for Refugees'
'41122','','UNICEF','United Nations Children’s Fund'
'41123','','UNIDO','United Nations Industrial Development Organisation'
'41124','','UNIFEM','United Nations Development Fund for Women'
'41125','','UNITAR','United Nations Institute for Training and Research'
'41126','','UNMAS','United Nations Mine Action Service'
'41127','','UNOCHA','United Nations Office of Co-ordination of Humanitarian Affairs'
'41128','','UNODC','United Nations Office on Drugs and Crime'
'41129','','UNRISD','United Nations Research Institute for Social Development'
'41130','','UNRWA','United Nations Relief and Works Agency for Palestine Refugees in the Near East'
'41131','','UNSSC','United Nations System Staff College'
'41132','','UNSCN','United Nations System Standing Committee on Nutrition'
'41133','','UNSIA','United Nations Special Initiative on Africa'
'41134','','UNU','United Nations University (including Endowment Fund)'
'41135','','UNV','United Nations Volunteers'
'41136','','UNVFD','United Nations Voluntary Fund on Disability'
'41137','','UNVFTC','United Nations Voluntary Fund for Technical Co-operation in the Field of Human Rights'
'41138','','UNVFVT','United Nations Voluntary Fund for Victims of Torture'
'41140','','WFP','World Food Programme'
'41141','','PBF Window 2','United Nations Peacebuilding Fund (Window Two: Restricted Contributions Only)'
'41142','','UNDEF','United Nations Democracy Fund'
'41143','','WHO-CVCA','World Health Organisation - core voluntary contributions account'
'','','','OTHER UN (Core Contributions Reportable in Part)'
'41301','','FAO','Food and Agricultural Organisation'
'41302','','ILO','International Labour Organisation'
'41303','','ITU','International Telecommunications Union'
'41304','','UNESCO','United Nations Educational, Scientific and Cultural Organisation'
'41305','','UN','United Nations'
'41306','','UPU','Universal Postal Union'
'41307','','WHO-Assessed','World Health Organisation - assessed contributions'
'41308','','WIPO','World Intellectual Property Organisation'
'41309','','WMO','World Meteorological Organisation'
'41310','','UNDPKO','United Nations Department of Peacekeeping Operations (excluding UNTSO, UNMOGIP, UNFICYP, UNDOF)'
'41311','','PBF Window 1','United Nations Peacebuilding Fund (Window One: Flexible Contributions Only)'
'41312','','IAEA-Assessed','International Atomic Energy Agency - assessed contributions'
'41313','','OHCHR','United Nations High Commissioner for Human Rights (extrabudgetary contributions only)'
'41314','','UNECE','United Nations Economic Commission for Europe (extrabudgetary contributions only)'
'','','','EUROPEAN UNION INSTITUTIONS'
'42001','','EC','European Commission - Development Share of Budget'
'42003','','EDF','European Commission - European Development Fund'
'42004','','EIB','European Investment Bank (interest subsidies only)'
'42005','','FEMIP','Facility for Euro-Mediterranean Investment and Partnership Trust Fund'
'42006','','GEEREF','Global Energy Efficiency and Renewable Energy Fund'
'','','','INTERNATIONAL MONETARY FUND'
'43001','','IMF-PRGF Trust','International Monetary Fund - Poverty Reduction and Growth Facility Trust'
'43002','','IMF-PRGF-HIPC Trust','International Monetary Fund - Poverty Reduction and Growth Facility - Heavily Indebted Poor Countries Initiative Trust (includes HIPC, PRGF and PRGF-HIPC sub-accounts)'
'43003','','IMF-ENDA','International Monetary Fund - Subsidization of IMF Emergency Assistance for Natural Disasters'
'','','','WORLD BANK GROUP'
'44001','','IBRD','International Bank for Reconstruction and Development'
'44002','','IDA','International Development Association'
'44003','','IDA-HIPC','International Development Association - Heavily Indebted Poor Countries Debt Initiative Trust Fund'
'44004','','IFC','International Finance Corporation'
'44005','','MIGA','Multilateral Investment Guarantee Agency'
'44006','','AMCs','Advance Market Commitments'
'44007','','IDA-MDRI','International Development Association - Multilateral Debt Relief Initiative'
'','','','WORLD TRADE ORGANISATION'
'45001','','WTO-ITC','World Trade Organisation - International Trade Centre'
'45002','','WTO-ACWL','World Trade Organisation - Advisory Centre on WTO Law'
'45003','','WTO-DDAGTF','World Trade Organisation - Doha Development Agenda Global Trust Fund'
'','','','REGIONAL DEVELOPMENT BANKS'
'46001','','ASF','African Solidarity Fund'
'46002','','Afr.DB','African Development Bank'
'46003','','Afr.DF','African Development Fund'
'46004','','AsDB','Asian Development Bank'
'46005','','AsDF','Asian Development Fund'
'46006','','BSTDB','Black Sea Trade and Development Bank'
'46007','','CABEI','Central American Bank for Economic Integration'
'46008','','CAF','Andean Development Corporation'
'46009','','CDB','Caribbean Development Bank'
'46012','','IDB','Inter-American Development Bank, Inter-American Investment Corporation and Multilateral Investment Fund'
'46013','','IDB Sp.F.','Inter-American Development Fund for Special Operations'
'','','','OTHER MULTILATERAL INSTITUTIONS'
'47001','','ACBF','African Capacity Building Foundation'
'47002','','APO','Asian Productivity Organisation'
'47003','','ASEAN','Association of South East Asian Nations: Economic Co-operation'
'47004','','ASEAN (CF)','ASEAN Cultural Fund'
'47005','','AU','African Union (excluding peacekeeping facilities)'
'47008','','AVRDC','World Vegetable Centre'
'47009','','CAMES','African and Malagasy Council for Higher Education'
'47010','','CAPAM','Commonwealth Agency for Public Administration and Management'
'47011','','CARICOM','Caribbean Community Secretariat'
'47012','','CAREC','Caribbean Epidemiology Centre'
'47013','','CF','Commonwealth Foundation'
'47014','','CFTC','Commonwealth Fund for Technical Co-operation'
'47015','','CGIAR','Consultative Group on International Agricultural Research'
'47016','','CI','Commonwealth Institute'
'47017','','CIAT','International Centre for Tropical Agriculture'
'47018','','CIFOR','Centre for International Forestry Research'
'47019','','CIHEAM','International Centre for Advanced Mediterranean Agronomic Studies'
'47020','','CIMMYT','International Maize and Wheat Improvement Centre'
'47021','','CIP','International Potato Centre'
'47022','','CITES','Convention on International Trade in Endangered Species of Wild Flora and Fauna'
'47023','','CLAS','Commonwealth Legal Advisory Service'
'47024','','CMDF','Commonwealth Media Development Fund'
'47025','','COL','Commonwealth of Learning'
'47026','','CPLP','Community of Portuguese Speaking Countries'
'47027','','CP','Colombo Plan'
'47028','','CPTM','Commonwealth Partnership for Technical Management'
'47029','','SWAC','Sahel and West Africa Club'
'47030','','CSC','Commonwealth Scientific Council'
'47031','','CSSO','Commonwealth Small States Office'
'47032','','CTIAF','Commonwealth Trade and Investment Access Facility'
